63;88;37;60;13;61;55;88;14;72;45;93;55;88;61;82;14;72;46;81;48;57;52;66;45;66;14;55;43;61;36;60;52;94;37;65;63;100;50;82;46;93;43;87
63;88;37;60;13;61;55;88;14;72;45;93;55;88;61;82;14;72;46;81;48;57;52;66;45;66;14;55;43;61;36;60;52;94;37;65;63;100;50;82;46;93;43;87
63;88;39;56;13;61;55;88;14;56;46;87;55;88;61;82;14;72;52;71;46;61;52;71;43;70;14;55;39;70;36;60;52;87;39;65;64;94;52;76;45;100;43;87
63;88;39;56;13;61;55;88;14;56;46;87;55;88;61;82;14;72;52;71;46;61;52;71;43;70;14;55;39;70;36;60;52;87;39;65;64;94;52;76;45;100;43;87
57;94;23;35;14;55;43;93;13;61;30;86;46;87;64;94;12;66;48;76;46;66;57;72;34;59;15;46;28;59;18;41;55;77;19;49;57;88;55;82;48;87;46;61
57;94;23;35;14;55;43;93;13;61;30;86;46;87;64;94;12;66;48;76;46;66;57;72;34;59;15;46;28;59;18;41;55;77;19;49;57;88;55;82;48;87;46;61
48;93;21;38;14;51;41;93;14;72;30;80;39;93;66;94;12;72;48;81;45;66;54;71;32;64;16;55;28;59;18;41;54;82;18;44;48;93;54;82;46;93;45;66
45;93;19;41;14;51;41;93;14;72;30;86;37;93;66;94;11;66;48;81;43;70;52;76;32;64;16;55;28;59;18;44;54;82;18;41;46;87;54;77;46;87;45;70
45;93;19;41;14;51;41;93;14;72;30;86;37;93;66;94;11;66;48;81;43;70;52;76;32;64;16;55;28;59;18;44;54;82;18;41;46;87;54;77;46;87;45;70
45;93;19;41;14;51;39;93;13;66;30;86;37;87;63;94;11;66;50;87;43;70;52;71;32;64;16;55;28;59;16;48;54;82;18;34;45;93;54;77;46;87;45;70
43;93;19;41;15;60;37;93;13;66;30;80;36;93;59;88;11;66;52;82;43;70;50;76;32;64;16;60;28;59;18;48;52;87;18;37;41;87;52;82;45;93;45;76
41;100;21;38;14;55;37;93;12;61;30;80;36;93;57;94;11;66;54;77;41;75;50;76;30;80;16;60;28;54;18;48;52;87;18;41;41;93;52;76;45;93;45;76
41;93;21;38;13;56;37;93;11;52;30;80;36;87;57;88;14;61;55;67;43;70;52;62;30;80;14;55;27;68;19;45;52;87;19;41;43;81;52;76;45;93;45;70
41;93;21;38;13;56;37;93;11;52;30;80;36;87;57;88;14;61;55;67;43;70;52;62;30;86;14;55;25;80;19;45;52;87;19;41;43;81;52;76;45;93;45;70
41;87;21;38;12;56;37;93;16;44;32;74;34;86;52;87;16;57;59;48;43;70;54;58;30;86;12;47;25;86;21;41;54;82;21;35;43;81;54;71;46;87;46;66
43;81;25;33;14;52;37;93;16;44;36;69;34;86;52;82;18;57;63;39;46;61;57;59;30;86;11;47;25;86;21;41;55;77;19;38;45;76;55;62;48;87;48;66
43;75;25;33;18;48;37;93;19;41;37;70;34;86;52;87;18;62;64;39;48;46;63;42;30;86;14;40;25;86;21;41;59;67;21;35;46;71;61;55;52;82;50;62
43;75;25;33;19;49;37;93;19;41;39;65;34;86;54;82;18;62;66;43;50;46;63;42;30;86;16;37;25;86;23;38;59;63;21;35;48;66;61;55;55;77;52;58
43;61;27;30;19;62;34;80;19;41;46;53;32;80;46;76;19;57;63;55;55;35;66;40;32;86;16;52;27;86;21;41;64;45;19;38;46;57;61;72;63;52;55;51
39;65;25;30;18;67;34;80;18;44;46;53;32;80;48;71;18;67;61;55;57;33;66;46;30;93;16;57;27;86;21;41;66;43;18;37;46;53;63;68;61;55;55;51
39;56;25;33;18;67;34;75;18;44;46;53;30;80;46;76;18;62;59;67;55;38;66;49;30;86;16;62;27;86;21;41;64;45;18;37;45;53;61;72;59;55;54;54
37;65;25;33;19;67;32;74;16;52;45;61;28;86;45;70;18;62;57;82;54;41;63;59;30;86;16;67;27;93;21;41;63;52;18;37;41;61;61;72;57;59;54;54
37;65;25;33;19;67;32;74;16;52;45;61;28;86;45;70;18;62;57;82;54;41;63;59;30;86;16;67;27;93;21;41;63;52;18;37;41;61;61;72;57;59;54;54
36;64;25;33;19;73;32;74;14;56;45;61;28;86;43;70;18;67;55;88;54;44;61;68;30;86;16;67;27;86;19;45;61;59;16;44;39;65;59;77;52;87;52;62
36;64;23;35;19;79;30;80;14;61;41;65;28;80;39;75;18;67;55;88;52;50;57;82;30;86;16;62;27;93;19;49;61;59;16;44;37;65;59;77;52;100;54;58
36;64;23;35;19;79;30;80;14;61;41;65;28;80;39;75;18;67;55;88;52;50;57;82;30;86;16;62;27;93;19;49;61;59;16;44;37;65;59;77;52;100;54;58
